stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
23585,23585,County Fair Mall - Depart,,38.6598918533261,-121.76403264785,0,1
23056,23056,Gibson at Coloma,,38.662977,-121.770156,0,1
23055,23055,Gibson at College WB,,38.6629929132312,-121.775266477122,0,1
23061,23061,Gibson at Spruce,,38.663008,-121.778062,0,1
23064,23064,W. Gibson at West WB,Gibson at West,38.6630481660195,-121.785007263496,0,1
23058,23058,W. Gibson at Midway WB,W. Gibson at Midway,38.6630792116278,-121.787134990583,0,1
23051,23051,W. Gibson at Amherst WB,W. Gibson at Amherst,38.6631404555882,-121.791548694298,0,1
23031,23031,Cottonwood at W. Gibson NB,Hospital,38.6641788111258,-121.793345549445,0,1
23037,23037,Cottonwood at W. Southwood NB,,38.6695763470704,-121.793313462746,0,1
23029,23029,Cottonwood at W. Cross NB,,38.6719701729346,-121.793295636802,0,1
23033,23033,Cottonwood at W. Lincoln NB,,38.6756185126458,-121.793255817509,0,1
23075,23075,W. Lincoln at Ashley WB,W. Lincoln at Ashley,38.675944161521,-121.797263089702,0,1
23305,23305,W. Lincoln at Rd 98 WB,,38.6755833463582,-121.801364601551,0,1
23297,23297,Ashley at W. Court,,38.678714837927,-121.797852563154,0,1
23294,23294,W. Court at Cottonwood EB,W. Court at Cottonwood,38.6788749347281,-121.7938618996,0,1
23027,23027,Cottonwood at Riverside NB,,38.6805824149002,-121.793197649312,0,1
23025,23025,Cottonwood at Buckeye NB,,38.6832498719245,-121.793148028442,0,1
23023,23023,Cottonwood at W Beamer NB,,38.6847549248279,-121.793134439921,0,1
23495,23495,N. Cottonwood at W. Woodland NB,,38.6878793649602,-121.793571817492,0,1
23497,23497,N. Ashley at W. Woodland,,38.6889468842117,-121.797774839269,0,1
23498,23498,W. Kentucky at N. Ashley,,38.6920772338174,-121.797534044046,0,1
23505,23505,N. Cottonwood at W. Kentucky,,38.6919408818801,-121.7932255134,0,1
23496,23496,N. Cottonwood at W. Woodland SB,,38.6881034422129,-121.793701466104,0,1
23014,23014,W. Beamer at Mariposa EB,W. Beamer at Mariposa,38.6847913267257,-121.79007688302,0,1
23020,23020,W. Beamer at West EB,W. Beamer at West,38.6847404863308,-121.784232621533,0,1
23099,23099,West at Clover SB,West at Clover,38.682452844058,-121.78406505766,0,1
23102,23102,West at North SB,West at North,38.6799035117693,-121.784082883604,0,1
23041,23041,Court at Cleveland EB,,38.6787874545348,-121.779626397624,0,1
23045,23045,Court at Walnut EB,,38.678775947021,-121.777882234924,0,1
23043,23043,Court at College EB,,38.6787504660338,-121.77420626725,0,1
23039,23039,Court at 2nd EB,Post Office,38.6787316905696,-121.771579043363,0,1
23298,23298,3rd St. at Clover NB,,38.6825471331207,-121.770532981785,0,1
23301,23301,3rd St. at Beamer NB,,38.6844120944906,-121.770513775091,0,1
23018,23018,Beamer at 5th EB,,38.6846701016825,-121.767278120952,0,1
23016,23016,E. Beamer at Matmor EB,,38.6845896354073,-121.758535460146,0,1
23087,23087,Matmor at Cannery SB,Matmor at Cannery,38.6811925532286,-121.756278337045,0,1
23073,23073,Industrial at E. Main SB,Industrial at E. Main,38.6779836374365,-121.753065245973,0,1
23090,23090,Matmor at E. Main SB,Matmor at E. Main,38.676736,-121.756232,0,1
23088,23088,Matmor at Crystal Springs,,38.6732975475269,-121.756287562365,0,1
23094,23094,Matmor at Gum SB,Matmor at Gum,38.6687103239094,-121.756333909819,0,1
23069,23069,E. Gum at Matmor WB,E. Gum at Matmor,38.6683270010315,-121.757226229128,0,1
23066,23066,E. Gum at East WB,Gum at East,38.668398123426,-121.764340110645,0,1
23494,23494,Woodland Community & Senior Center NB,,38.6538018973948,-121.764945940074,0,1
23363,23363,E. Gibson at County Fair Mall EB,E. Gibson at County Fair Mall,38.6627316991451,-121.761537574682,0,1
23063,23063,E. Gibson at Washington EB,,38.6627380382862,-121.758685246039,0,1
23104,23104,E. Gibson at Pioneer EB,Pioneer High School,38.6626019160132,-121.741189195342,0,1
23302,23302,Woodland Community College,,38.6606980896216,-121.735572224789,0,1
23096,23096,Ogden at Branigan,29,38.6643353443154,-121.735618282494,0,1
23049,23049,Farnham at Howard NB,,38.6659307681287,-121.731657711806,0,1
23506,23506,Maxwell at Burns EB,,38.6686829606203,-121.729947977213,0,1
23503,23503,Veterans at Maxwell,,38.6693801682818,-121.723847789994,0,1
23507,23507,Maxwell at Burns WB,,38.6687724319427,-121.730850973767,0,1
23046,23046,Farnham at Maxwell NB,,38.6678956081621,-121.733115340762,0,1
23047,23047,Farnham at Eaton,56,38.6697243998888,-121.735022176123,0,1
23071,23071,E. Gum at Wallace WB,,38.6689738135918,-121.738987519681,0,1
23097,23097,Pioneer at E. Gum NB,67,38.6697327419242,-121.742107723521,0,1
23307,23307,Pioneer at Spring Lake NB,Pioneer at Spring Lake,38.6737019868829,-121.745598043341,0,1
23308,23308,E. Main at Wal-Mart,,38.6771599159932,-121.740895911509,0,1
23072,23072,Industrial at E Main NB,Industrial at E Main,38.6780638204851,-121.752893433147,0,1
23086,23086,Matmor at Cannery NB,Matmor at Cannery,38.6813185024479,-121.756157330525,0,1
23015,23015,E. Beamer at Matmor WB,,38.6846889429133,-121.758075014869,0,1
23017,23017,Beamer at 5th WB,,38.684726571453,-121.767351452639,0,1
23300,23300,3rd St. at Beamer SB,,38.6842423320161,-121.770606469999,0,1
23299,23299,3rd St. at Clover SB,,38.6822468970049,-121.770631426321,0,1
23038,23038,Court at 2nd WB,,38.6788125033918,-121.771344464078,0,1
