service_id,date,exception_type
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20251019,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251020,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251021,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251022,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251023,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251024,1
714cca75-05b2-46c1-aa4b-c57452577450,20251025,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20251026,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251027,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251028,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251029,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251030,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251031,1
714cca75-05b2-46c1-aa4b-c57452577450,20251101,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20251102,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251103,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251104,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251105,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251106,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251107,1
714cca75-05b2-46c1-aa4b-c57452577450,20251108,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20251109,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251110,1
0408e410-f468-42bc-a589-5fed66b06cd1,20251111,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251112,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251113,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251114,1
714cca75-05b2-46c1-aa4b-c57452577450,20251115,1
3a9a9936-3d2b-4495-bb62-5cf59c5ab42e,20251116,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251117,1
928ccafe-e9c5-4305-b6d1-2b3bbb7f565d,20251118,1
