shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
ac555105-3961-4d73-b885-845c6bea1e50,38.575463955132,-121.560926381405,44,7899.09
d6ba0d8e-f57e-4bfe-ba1f-4075873ebb4b,38.5923337267118,-121.541308501077,85,5465.33
b5914a76-7694-4355-b9d6-e3d85956967a,38.5639639832952,-121.6360872469,48,15473.14
ea9341a8-01bf-4186-a7a8-758422e591d7,38.676312337894,-121.745364471994,74,11104.98
b5914a76-7694-4355-b9d6-e3d85956967a,38.5774018512608,-121.496220767273,15,2920.83
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6698747094604,-121.725898243935,65,5435.67
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6788517616754,-121.783903805882,171,14914.01
820cbb78-3a14-4bb2-bfa1-54952d001148,38.6885264333286,-121.795674798096,69,7717.12
820cbb78-3a14-4bb2-bfa1-54952d001148,38.6789934115434,-121.784024057989,102,10905.31
e2c8a1b8-f409-48e9-8fd9-057d4ba1510c,38.581496243566,-121.522534580382,84,12670.89
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6698890246412,-121.723913485011,68,5612.46
820cbb78-3a14-4bb2-bfa1-54952d001148,38.684665345958,-121.770394341267,115,12733.87
ac555105-3961-4d73-b885-845c6bea1e50,38.5757187650036,-121.566211674584,46,8359.17
0a4bed5e-7ebb-4f29-af0a-b15bd5c8036d,38.5562740895911,-121.679337869843,57,11407.8
4ed37423-f74f-4b42-b980-b88051f04cca,38.5764952645597,-121.487506269664,4,943.04
d6ba0d8e-f57e-4bfe-ba1f-4075873ebb4b,38.5896948005848,-121.551355203066,63,4126.21
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.6412400214876,-121.766124199934,459,76677
6fb32afd-cbc2-479b-beb0-7b99ef52c887,38.5610198174341,-121.76899612367,59,11676.95
906fd2f9-8368-4e42-9ea3-016bbd465ca4,38.5793057878387,-121.526127550529,145,18394.54
906fd2f9-8368-4e42-9ea3-016bbd465ca4,38.5791282495769,-121.504443367694,103,13012.02
f07c2a42-2cb6-44ec-83c2-ff18b4b030e4,38.5535342129191,-121.455919233317,5,483.46
906fd2f9-8368-4e42-9ea3-016bbd465ca4,38.5520518305691,-121.538106711634,176,22906.16
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6719554780984,-121.774868652392,183,16467.63
820cbb78-3a14-4bb2-bfa1-54952d001148,38.6881034422129,-121.793701466104,84,9109.31
b8eb2819-9cb7-4c5a-bf61-d7191184be45,38.5266521821846,-121.760778949226,99,7837.05
4ed37423-f74f-4b42-b980-b88051f04cca,38.5888640000877,-121.504018314606,44,4607.68
820cbb78-3a14-4bb2-bfa1-54952d001148,38.6789166827672,-121.797518000698,53,6096.32
4ed37423-f74f-4b42-b980-b88051f04cca,38.5784221536139,-121.49582587219,17,2725.56
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.6703507926815,-121.59243971203,146,23379.63
ea9341a8-01bf-4186-a7a8-758422e591d7,38.6630277418074,-121.756418679029,49,8190.7
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.5783149271929,-121.565961819657,262,45676.8
e2c8a1b8-f409-48e9-8fd9-057d4ba1510c,38.5810250890439,-121.518075264754,90,13129.41
68eaf323-11f3-45c2-aaca-cc67cef312bc,38.5738178580881,-121.579534116632,139,20050.65
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6681783402684,-121.732246722249,53,4749.91
906fd2f9-8368-4e42-9ea3-016bbd465ca4,38.5630560554895,-121.537202241254,164,20597.36
ac555105-3961-4d73-b885-845c6bea1e50,38.5440330392911,-121.749875021756,122,25743.76
f2337760-ee39-40ac-b3cf-dd8f540d05b9,38.5963871950313,-121.528532830789,70,4867.06
b8eb2819-9cb7-4c5a-bf61-d7191184be45,38.5751528188677,-121.559362653456,161,26487.83
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6788737338943,-121.779562224226,169,14537.35
f07c2a42-2cb6-44ec-83c2-ff18b4b030e4,38.5339835902443,-121.768234328522,76,33254.19
4ed37423-f74f-4b42-b980-b88051f04cca,38.6628759926568,-121.758561785075,170,34781.02
a6e9b69f-d8a2-4feb-bf49-27d96ff22e58,38.5742981638668,-121.488426926355,6,1202.66
a4e2929e-9010-444c-98f9-88ee4335460a,38.5755068704788,-121.565974299072,64,25009.27
d6ba0d8e-f57e-4bfe-ba1f-4075873ebb4b,38.581028902751,-121.517858172758,199,12673.87
b8eb2819-9cb7-4c5a-bf61-d7191184be45,38.5534449912308,-121.690983860092,130,14768.58
906fd2f9-8368-4e42-9ea3-016bbd465ca4,38.5420358751217,-121.571203895594,12,816.94
4ed37423-f74f-4b42-b980-b88051f04cca,38.6739950607159,-121.737464979108,133,31250.94
f2337760-ee39-40ac-b3cf-dd8f540d05b9,38.5962283695843,-121.530251251783,73,5018.31
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.6935895358087,-121.59024712093,106,20492.4
e2c8a1b8-f409-48e9-8fd9-057d4ba1510c,38.5759581361726,-121.495322229937,105,15366.02
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.6935756226518,-121.590343381027,107,20500.89
0a4bed5e-7ebb-4f29-af0a-b15bd5c8036d,38.5786678539912,-121.50159323225,79,27334.65
015bd1c0-6b73-4bf2-b33d-12b22c508535,38.5304027313457,-121.751073108182,123,26304.58
0a4bed5e-7ebb-4f29-af0a-b15bd5c8036d,38.5469279317217,-121.713304025728,25,6361.75
a6e9b69f-d8a2-4feb-bf49-27d96ff22e58,38.5462478010594,-121.749554304515,168,29435.77
b5914a76-7694-4355-b9d6-e3d85956967a,38.5412899280363,-121.720790071535,89,24906.66
f2337760-ee39-40ac-b3cf-dd8f540d05b9,38.5877933975818,-121.515206155113,31,2499.98
906fd2f9-8368-4e42-9ea3-016bbd465ca4,38.5798799222112,-121.526259462514,79,10823.66
906fd2f9-8368-4e42-9ea3-016bbd465ca4,38.5350428841938,-121.561517469491,31,3226.74
820cbb78-3a14-4bb2-bfa1-54952d001148,38.6805824149002,-121.793197649312,59,6645.57
f2337760-ee39-40ac-b3cf-dd8f540d05b9,38.5819792202332,-121.518920784624,186,12156.96
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.5931602127974,-121.504549896418,187,36940.88
4ed37423-f74f-4b42-b980-b88051f04cca,38.6734640861326,-121.632923780533,125,22181.35
d6ba0d8e-f57e-4bfe-ba1f-4075873ebb4b,38.5784460753601,-121.495591270467,225,15262.14
68eaf323-11f3-45c2-aaca-cc67cef312bc,38.5584292446631,-121.706866723708,94,7568.22
6fb32afd-cbc2-479b-beb0-7b99ef52c887,38.5785541021646,-121.495805003989,264,40526.08
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.6902280384403,-121.586870887151,91,19982.17
d6ba0d8e-f57e-4bfe-ba1f-4075873ebb4b,38.5880651192341,-121.527065769998,165,10973.26
015bd1c0-6b73-4bf2-b33d-12b22c508535,38.5552648707746,-121.787179863434,193,32507.63
6fb32afd-cbc2-479b-beb0-7b99ef52c887,38.5576437218787,-121.70497420325,146,19938.02
a4337f0e-eeeb-42cc-8bfa-4a77439fa5b2,38.6805965144608,-121.959203838288,160,21470.51
b8eb2819-9cb7-4c5a-bf61-d7191184be45,38.5434462612819,-121.731102317793,119,11092.55
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6626451774543,-121.736436259563,23,3209.28
ea9341a8-01bf-4186-a7a8-758422e591d7,38.5831194752711,-121.503526531541,142,39123.63
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.5609651740703,-121.766238493955,412,66837.88
ac555105-3961-4d73-b885-845c6bea1e50,38.5779382930957,-121.493651210883,11,1713.28
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.6731429999234,-121.628821475229,51,14258.34
ea9341a8-01bf-4186-a7a8-758422e591d7,38.667265585867,-121.756394349555,53,8661.68
a4337f0e-eeeb-42cc-8bfa-4a77439fa5b2,38.6774315723281,-121.802664405703,209,35467.66
68eaf323-11f3-45c2-aaca-cc67cef312bc,38.572585352303,-121.496913717233,185,28947.95
6fb32afd-cbc2-479b-beb0-7b99ef52c887,38.5978657661596,-121.503779232727,285,43213.34
d6ba0d8e-f57e-4bfe-ba1f-4075873ebb4b,38.581496243566,-121.522534580382,186,12194.61
0a4bed5e-7ebb-4f29-af0a-b15bd5c8036d,38.5414589072144,-121.72286744254,16,5076.44
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6645743170478,-121.735496593097,41,3946.68
015bd1c0-6b73-4bf2-b33d-12b22c508535,38.5764338537968,-121.530027838423,53,6027.78
6fb32afd-cbc2-479b-beb0-7b99ef52c887,38.580036111606,-121.533652314069,225,36474.64
a6e9b69f-d8a2-4feb-bf49-27d96ff22e58,38.5638484584569,-121.636981927443,66,15465.93
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6698353426984,-121.723863063883,69,5619.86
6fb32afd-cbc2-479b-beb0-7b99ef52c887,38.5792464951902,-121.495463675532,262,40443.45
a4337f0e-eeeb-42cc-8bfa-4a77439fa5b2,38.7359083435481,-122.144458421734,18,564.66
6fb32afd-cbc2-479b-beb0-7b99ef52c887,38.5578974213822,-121.702792307714,150,20140.09
e5750fc8-4f8a-4e15-924f-645fdff17a96,38.5562673840682,-121.679372738562,62,7607.1
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6689738135918,-121.738987519681,92,7257.14
