service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
49,0,0,0,0,0,1,1,20251222,20260104
81,1,1,0,0,1,0,0,20251222,20260102
11,1,1,0,1,0,0,0,20260105,20260313
13,0,0,1,0,0,0,0,20260105,20260313
15,0,0,0,0,1,0,0,20260105,20260313
19,0,0,0,0,0,1,0,20260105,20260329
20,0,0,0,0,0,0,1,20260105,20260329
31,1,1,0,1,1,0,0,20260316,20260320
33,0,0,1,0,0,0,0,20260316,20260320
41,1,1,1,1,1,0,0,20260323,20260327
